Province_State,cases,deaths,Cases_propPop,Deaths_propPop,Lat,Long,pop,Density,urban,Tested_1July2021_cumulative,Rainfall_monthly2017,Mean_age,Health_expenditure,IDBurd,log_tests,log_healthcare,log_cases,lag_rate,invSimp,PathCompPC1,PathCompPC2,log_pop,IDburd_perMil
Andaman_and Nicobar Islands,7469,128,0.017909725,3.06928e-4,11.225999,92.968178,417036,46,0.16,410741,240.8333333,24.2,3151506,504602.8069,12.9257181245213,14.963390991788797,8.918516400357067,1058984.375,2.9152823097268934,-0.05107932881547031,-3.3755121715500707,12.94092782798989,1209974.2154154556
Andhra_Pradesh,1893354,12744,0.03512495,2.36423e-4,15.9129,79.74,53903393,308,0.26,22084192,71.96666667,27.6,53470483,4541160.774,16.910372616425438,17.794640339986792,14.453860417462609,901842.6000000001,2.924191451328907,-0.9344200217441413,-1.5984526039686335,17.8027039838052,84246.28805834171
Arunachal_Pradesh,36168,176,0.023030224,1.12069e-4,27.768456,96.384277,1570458,17,0,771020,228.775,26.2,5357577,133713.1625,13.555469592546245,15.494022378601763,10.495930028974442,109163.49999999997,2.798673791972434,0.6941220225736943,0.46126844746449913,14.266877854527783,85142.78159619679
Assam,511153,4577,0.014355392,1.28542e-4,26.357149,92.830441,35607039,398,0.24,14986456,225.975,23.8,28643237,4402857.036,16.5226574178433,17.170427917413033,13.144424237286591,40505.399999999994,3.14239871559187,0.4722629876319239,0.1792313433821657,17.388053900996404,123651.31051756369
Bihar,722101,9592,0.005786069,7.69e-5,25.679658,85.60484,124799926,1106,0.74,33334290,92.66666667,19.9,46528287,15295101.03,17.32209715487242,17.655571008185053,13.489920297288059,782857.4,3.269340300079182,1.7450607211261382,1.3145719195675771,18.64222242095071,122556.97194884554
Chandigarh,61687,808,0.053248544,6.9747e-4,30.733839,76.768278,1158473,9258,1,568854,35.13333333,27.6,3744305,294672.916,13.251379089673824,15.135746576936848,11.02982849077318,668314.6000000001,3.0704241764334737,0.4096717115175092,0.2337749125198324,13.962613316583843,254363.214334732
Chhattisgarh,994890,13445,0.033798145,4.5675e-4,21.264705,82.035366,29436231,189,0.2,10383899,93.7,24.2,27543544,4175319.891,16.155766991376396,17.1312787285338,13.810387457265504,875813.6000000001,4.042850952230395,2.923296366421036,0.573020882272442,17.197736820531468,141842.8837238028
Dadra_and Nagar Haveli and Daman and Diu,10564,4,0.017157038,6.5e-6,20.194742,73.080901,615724,1445.5,0.63,72410,54.34166667,24.9,1642270,35931.62236,11.190099690382866,14.311589989094324,9.265207273417023,1572155.6,3.765168121874208,1.9846213250129978,0.6442313190785022,13.33055409016234,58356.70261350865
Delhi,1434281,24981,0.076654747,0.001335103,28.646519,77.10898,18710922,11320,1,21559572,35.13333333,26.2,37594067,1248456.904,16.886330452231032,17.442356803356375,14.176174236314553,769897.1666666666,2.4557358726901866,-0.30878405156609406,0.7815804047470049,16.744617975496844,66723.43051828232
Goa,166920,3060,0.105229314,0.001929078,15.359682,74.057396,1586250,394,0.45,926632,286.95,26,5750373,66583.27563,13.739311786226994,15.56477528023481,12.02526993470549,2234496,3.5099278295364127,-0.42534550013689637,-0.4900492582214039,14.276883298010734,41975.27226477542
